maaldâs maldâs
maaŋgâs maŋgâs
maašinlâš maašinlii
N _ magneetlâš nääpi
majebáš majebáá
majemuš majemuu
malli maaLi
mandekes mandiäk'ká
N _ maneks ij
manemuš manemuu
N _ mannjeed eeHid
N _ maŊa ko
N _ maŊa tast
maŋgâ maaŋgâ
N _ mašináin tohhum
me'rhâlâš me'rhâlii
mecci meeci
meeRi mere
meestâ mestuu
N _ mere mild
N _ merettes purâdem
merkkâ meerhâ
mie'Lâsâš mie'Lâsii
mie'đes miättás
N _ mie'đetteijee hääMi
mieLâ mielâ
mieh'tâ mievtâ
miek'ki miehi
miel'kki mielhi
miel'li mieLi
mielgâs miel'gâs
mieskâs mies'kâs
miestâs mies'tâs
N _ mihheen monnân
N _ mii mon
N _ mii peri
N _ mii váá
miinstâr minstâr
N _ mij mii
mirkkâ miirhâ
misso miSo
mitto mito
miäNu miänu
miäldus miäl'dus
miälgus miäl'gus
miär'kká miärhá
miäđuš miättuš
mo'skos moskos
moive mooive
moivârâh moivâruv
mokke mohe
mollâ mooLâ
N _ mon kollii
monotoonlâš monotoonlii
mooLâ moolâ
moovsâš movssáá
morâttâh morâttuv
mote mođe
muddo mudo
mudágâš mudágáá
mulže mu'lže
N _ mun hepânâšâm
N _ mun kuškálutám
N _ mun kuškâluum
N _ mun polâškuá'đám
N _ mun poolâm
muoRâ muorâ
N _ muoi munnuu
N _ muorâid raaijâđ
muotâ muot'tuu
muov'lâ muovlâ
muoš'nu muošnu
murâšlâš murâšlii
N _ muu koovvâč
muáLu muálu
muáRi muári
muád'di muádi
muád'dá muádá
muádis muád'dás
muái'đoo muáiđoo
muáitus muáit'tus
muál'kki muálhi
muál'lu muáLu
muáti muáđi
muátu muáđu
muáĐá muáđá
muáđuuš muođuu
mušto mu'što
myeSi myesi
myei'đi myeiđi
myer'ji myerji
má'hđulâš má'hđulii
má'hđulâšvuotâ má'hđulâšvuođâ
má'vsulâš má'vsulii
má'đhálâš má'đhálii
máNudâš máNudáá
máddá máádá
N _ máddáápiälááš näpikiär'du
N _ máddáápiälááš pááLupeeLi
máksu máávsu
mánálâš mánálii
márdu máárdu
máttu máátu
mááNu máánu
mááddáš máddáá
mááhu mááVu
mááináš máináá
máánnud máNudáá
máátu mááđu
mäcci määci
mäddi määdi
mäini määini
märfi määrfi
mätki määđhi
määlis máállás
määđhi miätá
naVer nahhaar
naagâs naggâs
naalâh naallâh
naarvâ narvuu
nanodâh nanoduv
nanos nannoos
neehuš nehhuš
neeljis niäl'jás
N _ neepi neve
nelgi neelgi
nelji neelji
nevli neevli
N _ nie'vris lukko
niei'dâ nieidâ
niek'ki niehi
nies'ti nies'ti
niev'kki nievhi
niev'ri nievri
nijbe niijbe
nijtto niijto
nirve ni'rve
niske ni'ske
niäv'vu niäVu
njaLe njale
njaaJâ njaajâ
njaddo njado
njahče njaavče
njamma njaMa
njamâldâh njamâlduv
njargâ njaargâ
njavkke nja'vhe
njeepčâs njepčâs
njetti njeeti
nješši njeeŠi
nji'rtottâh nji'rtottuv
njie'lâttâh njie'lâttuv
njiesâs njie'câseh
njirro njiRo
njivle nji'vle
njiäLu njiälu
njižže njiže
njo'lges njolgáá
njob'žâdâh njob'žâduv
njobžâ njoobžâ
njoles njolláás
njolge njo'lge
njolgááš njolgáá
njomâttâh njomâttuv
njoođâ njođđuu
nju'škottâh nju'škottuv
njuNe njune
njuhčâ njuuvčâ
njuigo nju'igo
N _ njuneh kolgeh
N _ njuneh vardeh
njunoš njunnooš
